e,wl,wp,ccq,phicq,Es
0.925,38,21.7,19,19.5,3.47
1.03,40.1,22.3,17,14,3.53
0.98,37.4,22.2,17,18.5,3.56
0.92,34,20.5,14,22.5,4.18
0.939,38,21.3,17,17.5,3.9
0.872,38.3,20.7,26,14,3.26
0.881,35.3,20.4,19,16,3.07
0.868,36.8,19.7,14,12.5,3.39
0.987,39.1,21.2,17,16,3.09
1.024,39.8,22,17,16,3.07
1.059,43.4,23.5,17,13.5,3.58
1.01,38,20.7,17,17.5,3.24
0.904,38.8,21.5,20,16,3.26
0.993,38.1,21.5,16,14,3.17
0.797,37.7,20.2,21,17,5.6
0.864,37.4,20.2,23,14,4.15
0.847,37,19.8,26,12.5,4.27
0.986,35.6,21,21,19.5,6.44
0.928,37.5,20.9,16,14,3.37
0.993,40.2,22,21,17,4.77
1.044,38.6,21.8,20,15.5,4.67
1,36.2,21.7,21,21,5.72
0.923,37.9,21.2,21,14,5.01
0.932,41.7,21.8,20,20.5,3.62
0.791,38.5,22,29,16,5.04
0.794,37.4,21.2,29,15,5.32
0.81,38.1,21.7,29,17,4.64
1.021,38.1,20.5,19,15,5.04
0.849,32.2,18.5,16,26,6.26
0.964,35.1,19.4,19,20.5,6.17
0.879,33.6,19.4,21,20,5.11
0.892,34.5,18.8,23,19.5,4.41
1.103,39.6,22.6,19,20.5,3.53
0.853,34.8,18.4,24,22.5,5.56
0.865,35.2,20.4,20,16,4.12
0.983,38.6,20.6,16,12,2.96
0.946,38.9,20.6,21,16,3.6
0.967,39.4,21.6,21,17,3.04
0.933,40.1,21.5,23,15,3.75
0.901,34.9,20.5,23,19,3.44
0.828,34.6,18.9,24,17,6.49
0.865,31.6,18.7,14,25.5,7.04
0.802,33.8,20.1,14,23.5,5.7
0.831,36.3,19.9,17,20.5,5.45
0.86,33,20.5,14,25.5,6.84
1.002,35.9,20.3,17,19.5,6.27
1.001,37.5,23.3,17,17.5,2.98
0.885,36.1,20.7,14,15,3.95
0.805,34.8,19.9,29,16,5.91
0.901,34.9,20.4,17,19,4.07
0.96,34.5,19.3,24,21,3.78
1.016,38.8,21.4,17,15.5,3.45
0.843,35.3,19.4,20,17.5,4.63
0.974,36.9,21.1,19,14,3.31
0.821,33.6,19.9,14,24,6.09
0.863,34.8,21.1,14,24,6.11
0.754,35.8,21,29,17,5.67
0.87,36.5,21.1,23,15,4.73
0.822,32.7,18.4,24,16,4.28
0.898,35.5,20.2,19,13.5,3.66
0.774,39,21.2,29,16,3.36
0.824,35,19.7,24,15,3.27
0.829,38.4,21.3,23,12.5,3.9
0.983,41.1,20.7,19,14,3.22
0.99,35.3,20.2,13,13.5,3.3
0.851,35.8,19.8,17,12,3.73
0.887,31.3,18.3,10,22.5,4.51
0.957,40.7,23.2,17,17,3.71
0.858,39,23.1,24,11.5,5.37
0.895,33.9,19,13,14,3.77
0.908,38.9,20.8,23,12.5,3.69
0.975,39.5,22.3,16,13.5,3.87
0.985,42.8,21.7,16,14,3.36
0.947,38.6,20.1,26,14,3.61
1.02,39.8,22.2,11,11.5,3.51
0.891,37.4,21.2,16,15,3.91
0.884,37.1,20.7,23,17,4.19
0.911,41.4,21.3,17,13.5,5.23
0.92,34.6,20,16,17,3.92
0.95,34.3,19.2,13,18.5,3.96
0.895,34.3,20,19,17,3.75
0.888,35.7,19.4,17,16,3.84
0.935,39.2,20.7,11,11.5,3.47
0.975,35.9,20.8,13,14,3.2
0.996,43.1,22.9,20,18.5,3.16
0.97,38.7,20.7,20,12.5,3.47
0.897,38.3,21.7,23,18.5,3.11
0.856,33.8,19.5,19,14,3.64
1.101,39.2,20.3,13,14,2.91
1.05,44.3,22.4,14,13.5,3.42
1.051,41.7,21.8,19,11.5,3.16
0.915,38.4,20.7,21,17,3.79
0.779,36.1,20.9,29,17.5,7.07
0.895,35,19.8,21,16,5.37
0.927,40.4,21.5,17,14,2.87
0.932,44.7,23.7,26,13.5,4.32
0.887,32,18.4,14,23.5,3.96
0.838,35,19.6,29,18.5,5.57
0.882,39.3,21.5,26,12.5,4.93
0.856,35,20.1,21,19.5,5.52
0.851,31.5,19,14,23.5,5.97
0.955,40.2,20.9,21,14,3.61
0.879,39.9,20.5,23,12.5,5.06
0.905,31.4,19.1,14,25,6.02
0.843,36.3,20.5,29,21,5.78
1.076,40.1,21.5,19,12.5,3.08
0.934,33.8,18.4,17,17.5,2.82
0.901,35.3,19.1,19,17.5,5.5
